latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
30.332,75.97009,339.33,0.42,0.61,2024-10-31,08:45,N,nominal,2.0NRT,301.13,3.41,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.36453,76.65554,336.94,0.46,0.64,2024-10-31,08:45,N,nominal,2.0NRT,300.07,5.36,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.31874,76.0298,347.02,0.42,0.61,2024-10-31,08:45,N,nominal,2.0NRT,301.34,7.23,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.24995,75.35035,333.78,0.38,0.59,2024-10-31,08:45,N,nominal,2.0NRT,300.54,2.19,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.23308,75.59418,330.48,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,298.58,2.32,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22944,75.5949,350.72,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,300.71,5.34,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.23728,75.78357,340.77,0.41,0.6,2024-10-31,08:45,N,nominal,2.0NRT,300.49,3.61,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.17729,75.04073,341.54,0.37,0.58,2024-10-31,08:45,N,nominal,2.0NRT,301.53,2.72,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22646,75.95657,356.25,0.42,0.61,2024-10-31,08:45,N,nominal,2.0NRT,306.5,22.88,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22706,75.96545,336.64,0.42,0.61,2024-10-31,08:45,N,nominal,2.0NRT,302.5,14.89,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22676,75.961,367.0,0.42,0.61,2024-10-31,08:45,N,high,2.0NRT,304.89,14.89,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.19245,75.62791,339.87,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,299.05,5.02,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22164,76.05593,339.74,0.42,0.61,2024-10-31,08:45,N,nominal,2.0NRT,303.23,2.18,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.24714,76.54145,336.18,0.45,0.63,2024-10-31,08:45,N,nominal,2.0NRT,300.51,4.37,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
